CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Income_per_Age,Age_Group,Cluster
1,1,19,15,39,0.75,0,2
2,1,21,15,81,0.6818181818181818,0,2
3,0,20,16,6,0.7619047619047619,0,2
4,0,23,16,77,0.6666666666666666,0,2
5,0,31,17,40,0.53125,1,2
6,0,22,17,76,0.7391304347826086,0,2
7,0,35,18,6,0.5,1,1
8,0,23,18,94,0.75,0,2
9,1,64,19,3,0.2923076923076923,2,0
10,0,30,19,72,0.6129032258064516,1,2
11,1,67,19,14,0.27941176470588236,2,0
12,0,35,19,99,0.5277777777777778,1,2
13,0,58,20,15,0.3389830508474576,2,1
14,0,24,20,77,0.8,0,2
15,1,37,20,13,0.5263157894736842,1,0
16,1,22,20,79,0.8695652173913043,0,2
17,0,35,21,35,0.5833333333333334,1,2
18,1,20,21,66,1.0,0,2
19,1,52,23,29,0.4339622641509434,2,0
20,0,35,23,98,0.6388888888888888,1,2
21,1,35,24,35,0.6666666666666666,1,2
22,1,25,24,73,0.9230769230769231,0,2
23,0,46,25,5,0.5319148936170213,2,1
24,1,31,25,73,0.78125,1,2
25,0,54,28,14,0.509090909090909,2,1
26,1,29,28,82,0.9333333333333333,1,2
27,0,45,28,32,0.6086956521739131,1,1
28,1,35,28,61,0.7777777777777778,1,2
29,0,40,29,31,0.7073170731707317,1,1
30,0,23,29,87,1.2083333333333333,0,2
31,1,60,30,4,0.4918032786885246,2,0
32,0,21,30,73,1.3636363636363635,0,2
33,1,53,33,4,0.6111111111111112,2,0
34,1,18,33,92,1.736842105263158,0,2
35,0,49,33,14,0.66,2,1
36,0,21,33,81,1.5,0,2
37,0,42,34,17,0.7906976744186046,1,1
38,0,30,34,73,1.096774193548387,1,2
39,0,36,37,26,1.0,1,1
40,0,20,37,75,1.7619047619047619,0,2
41,0,65,38,35,0.5757575757575758,2,1
42,1,24,38,92,1.52,0,2
43,1,48,39,36,0.7959183673469388,2,0
44,0,31,39,61,1.21875,1,2
45,0,49,39,28,0.78,2,1
46,0,24,39,65,1.56,0,2
47,0,50,40,55,0.7843137254901961,2,1
48,0,27,40,47,1.4285714285714286,1,2
49,0,29,40,42,1.3333333333333333,1,2
50,0,31,40,42,1.25,1,2
51,0,49,42,52,0.84,2,1
52,1,33,42,60,1.2352941176470589,1,2
53,0,31,43,54,1.34375,1,2
54,1,59,43,60,0.7166666666666667,2,0
55,0,50,43,45,0.8431372549019608,2,1
56,1,47,43,41,0.8958333333333334,2,0
57,0,51,44,50,0.8461538461538461,2,1
58,1,69,44,46,0.6285714285714286,2,0
59,0,27,46,51,1.6428571428571428,1,2
60,1,53,46,46,0.8518518518518519,2,0
61,1,70,46,56,0.647887323943662,2,0
62,1,19,46,55,2.3,0,4
63,0,67,47,52,0.6911764705882353,2,1
64,0,54,47,59,0.8545454545454545,2,1
65,1,63,48,51,0.75,2,0
66,1,18,48,59,2.526315789473684,0,4
67,0,43,48,50,1.0909090909090908,1,1
68,0,68,48,48,0.6956521739130435,2,1
69,1,19,48,59,2.4,0,4
70,0,32,48,47,1.4545454545454546,1,2
71,1,70,49,55,0.6901408450704225,2,0
72,0,47,49,42,1.0208333333333333,2,1
73,0,60,50,49,0.819672131147541,2,1
74,0,60,50,56,0.819672131147541,2,1
75,1,59,54,47,0.9,2,0
76,1,26,54,54,2.0,1,4
77,0,45,54,53,1.173913043478261,1,1
78,1,40,54,48,1.3170731707317074,1,0
79,0,23,54,52,2.25,0,3
80,0,49,54,42,1.08,2,1
81,1,57,54,51,0.9310344827586207,2,0
82,1,38,54,55,1.3846153846153846,1,4
83,1,67,54,41,0.7941176470588235,2,0
84,0,46,54,44,1.148936170212766,2,1
85,0,21,54,57,2.4545454545454546,0,3
86,1,48,54,46,1.1020408163265305,2,0
87,0,55,57,58,1.0178571428571428,2,1
88,0,22,57,55,2.4782608695652173,0,3
89,0,34,58,60,1.6571428571428573,1,3
90,0,50,58,46,1.1372549019607843,2,1
91,0,68,59,55,0.855072463768116,2,1
92,1,18,59,41,3.1052631578947367,0,4
93,1,48,60,49,1.2244897959183674,2,0
94,0,40,60,40,1.4634146341463414,1,1
95,0,32,60,42,1.8181818181818181,1,3
96,1,24,60,52,2.4,0,4
97,0,47,60,47,1.25,2,1
98,0,27,60,50,2.142857142857143,1,3
99,1,48,61,42,1.2448979591836735,2,0
100,1,20,61,49,2.9047619047619047,0,4
101,0,23,62,41,2.5833333333333335,0,3
102,0,49,62,48,1.24,2,1
103,1,67,62,59,0.9117647058823529,2,0
104,1,26,62,55,2.2962962962962963,1,4
105,1,49,62,56,1.24,2,0
106,0,21,62,42,2.8181818181818183,0,3
107,0,66,63,50,0.9402985074626866,2,1
108,1,54,63,46,1.1454545454545455,2,0
109,1,68,63,43,0.9130434782608695,2,0
110,1,66,63,48,0.9402985074626866,2,0
111,1,65,63,52,0.9545454545454546,2,0
112,0,19,63,54,3.15,0,3
113,0,38,64,42,1.641025641025641,1,3
114,1,19,64,46,3.2,0,4
115,0,18,65,48,3.4210526315789473,0,3
116,0,19,65,50,3.25,0,3
117,0,63,65,43,1.015625,2,1
118,0,49,65,59,1.3,2,1
119,0,51,67,43,1.2884615384615385,2,1
120,0,50,67,57,1.3137254901960784,2,1
121,1,27,67,56,2.392857142857143,1,4
122,0,38,67,40,1.7179487179487178,1,3
123,0,40,69,58,1.6829268292682926,1,3
124,1,39,69,91,1.725,1,4
125,0,23,70,29,2.9166666666666665,0,3
126,0,31,70,77,2.1875,1,3
127,1,43,71,35,1.6136363636363635,1,4
128,1,40,71,95,1.7317073170731707,1,4
129,1,59,71,11,1.1833333333333333,2,0
130,1,38,71,75,1.8205128205128205,1,4
131,1,47,71,9,1.4791666666666667,2,0
132,1,39,71,75,1.775,1,4
133,0,25,72,34,2.769230769230769,0,3
134,0,31,72,71,2.25,1,3
135,1,20,73,5,3.4761904761904763,0,4
136,0,29,73,88,2.433333333333333,1,3
137,0,44,73,7,1.6222222222222222,1,1
138,1,32,73,73,2.212121212121212,1,4
139,1,19,74,10,3.7,0,4
140,0,35,74,72,2.0555555555555554,1,3
141,0,57,75,5,1.293103448275862,2,1
142,1,32,75,93,2.272727272727273,1,4
143,0,28,76,40,2.6206896551724137,1,3
144,0,32,76,87,2.303030303030303,1,3
145,1,25,77,12,2.9615384615384617,0,4
146,1,28,77,97,2.6551724137931036,1,4
147,1,48,77,36,1.5714285714285714,2,0
148,0,32,77,74,2.3333333333333335,1,3
149,0,34,78,22,2.2285714285714286,1,3
150,1,34,78,90,2.2285714285714286,1,4
151,1,43,78,17,1.7727272727272727,1,4
152,1,39,78,88,1.95,1,4
153,0,44,78,20,1.7333333333333334,1,1
154,0,38,78,76,2.0,1,3
155,0,47,78,16,1.625,2,1
156,0,27,78,89,2.7857142857142856,1,3
157,1,37,78,1,2.0526315789473686,1,4
158,0,30,78,78,2.5161290322580645,1,3
159,1,34,78,1,2.2285714285714286,1,4
160,0,30,78,73,2.5161290322580645,1,3
161,0,56,79,35,1.3859649122807018,2,1
162,0,29,79,83,2.6333333333333333,1,3
163,1,19,81,5,4.05,0,4
164,0,31,81,93,2.53125,1,3
165,1,50,85,26,1.6666666666666667,2,0
166,0,36,85,75,2.2972972972972974,1,3
167,1,42,86,20,2.0,1,4
168,0,33,86,95,2.5294117647058822,1,3
169,0,36,87,27,2.3513513513513513,1,3
170,1,32,87,63,2.6363636363636362,1,4
171,1,40,87,13,2.1219512195121952,1,4
172,1,28,87,75,3.0,1,4
173,1,36,87,10,2.3513513513513513,1,4
174,1,36,87,92,2.3513513513513513,1,4
175,0,52,88,13,1.6603773584905661,2,1
176,0,30,88,86,2.838709677419355,1,3
177,1,58,88,15,1.4915254237288136,2,0
178,1,27,88,69,3.142857142857143,1,4
179,1,59,93,14,1.55,2,0
180,1,35,93,90,2.5833333333333335,1,4
181,0,37,97,32,2.5526315789473686,1,3
182,0,32,97,86,2.9393939393939394,1,3
183,1,46,98,15,2.0851063829787235,2,0
184,0,29,98,88,3.2666666666666666,1,3
185,0,41,99,39,2.357142857142857,1,3
186,1,30,99,97,3.193548387096774,1,4
187,0,54,101,24,1.8363636363636364,2,1
188,1,28,101,68,3.4827586206896552,1,4
189,0,41,103,17,2.4523809523809526,1,3
190,0,36,103,85,2.7837837837837838,1,3
191,0,34,103,23,2.942857142857143,1,3
192,0,32,103,69,3.121212121212121,1,3
193,1,33,113,8,3.323529411764706,1,4
194,0,38,113,91,2.8974358974358974,1,3
195,0,47,120,16,2.5,2,3
196,0,35,120,79,3.3333333333333335,1,3
197,0,45,126,28,2.739130434782609,1,3
198,1,32,126,74,3.8181818181818183,1,4
199,1,32,137,18,4.151515151515151,1,4
200,1,30,137,83,4.419354838709677,1,4
